Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Absolute target achieved,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,society,ARM,Gini,NA,31.289574000000002,30.5135925648,29.75685546919296,29.018885453556972,28.299217094308755,27.5973965103699,26.912981076912725,26.24553914620529,25.594649775379395,24.959902460949987,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,24.833164538612337,TRUE,FALSE,FALSE
SHAPE_Gini,innovation,AUS,Gini,NA,34.772381,34.16038709440001,33.55916428153857,32.96852299018349,32.38827698555626,31.818243310610473,31.258242228343732,30.708097165124883,30.167634655018688,29.63668428509036,29.11507864167277,28.60265325757933,28.099246560245934,27.60469982078561,27.11885710393978,26.641565218910443,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,TRUE,FALSE,FALSE
SHAPE_Gini,service,AUS,Gini,NA,34.772381,34.0282520466,33.300047452802765,32.587426437312786,31.890055511554294,31.207608323607033,30.539765505481842,29.886214523664535,29.246649532858115,28.62077123285495,28.00828672847185,27.408909392482556,26.82235873148343,26.248360254629684,25.68664534518061,25.136951134793744,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,25.088163609996755,TRUE,FALSE,FALSE
SHAPE_Gini,society,AUS,Gini,NA,34.772381,33.9100259512,33.06905730761024,32.248944686381506,31.44917085815924,30.66923142087689,29.908634481639144,29.166900346494494,28.443561217901426,27.73816089969747,27.05025450938497,26.379408197552223,25.725198874252925,25.087213942171452,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,24.667629229446735,TRUE,FALSE,FALSE
SHAPE_Gini,innovation,AUT,Gini,NA,27.286419,26.8061780256,26.334389292349442,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE,FALSE
SHAPE_Gini,service,AUT,Gini,NA,27.286419,26.7024896334,26.13105635524524,25.571851749242995,25.024614121809194,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE,FALSE
SHAPE_Gini,society,AUT,Gini,NA,27.286419,26.609715808799997,25.949794856741757,25.30623994429456,24.67864519367605,24.066614792872887,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE,FALSE
SHAPE_Gini,innovation,AZE,Gini,NA,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE,FALSE
SHAPE_Gini,service,AZE,Gini,NA,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE,FALSE
SHAPE_Gini,society,AZE,Gini,NA,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE,FALSE
