Model,Scenario,Region,Variable,Unit,tgt.achieved,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,society,BWA,Gini,NA,TRUE,66.101418,58.30143428746271,51.421850586856294,45.35405946857794,40.00226920664505,35.281991522490635,31.118707775365795,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BRA,Gini,NA,TRUE,56.705429,51.88793764092677,47.47972319596957,43.44601495565678,39.754996206199074,36.37755326853339,33.2870458581162,30.45909695413121,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BRA,Gini,NA,TRUE,56.705429,50.89213816143644,45.67481054843506,40.99234958487646,36.78992215428676,33.01831648649467,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BRA,Gini,NA,TRUE,56.705429,50.014174319012085,44.11248934934479,38.907204669304136,34.3161448720555,30.266831269144557,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BRN,Gini,NA,TRUE,44.446957,40.6709017781164,37.21564676396614,34.05393791404759,31.160836591362234,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BRN,Gini,NA,TRUE,44.446957,39.890372339823486,35.800916706395775,32.130701265446234,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BRN,Gini,NA,TRUE,44.446957,39.2022050542574,34.57633513844478,30.496319019590874,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BGR,Gini,NA,TRUE,38.080559,34.84537028586157,31.885031686609544,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BGR,Gini,NA,TRUE,38.080559,34.17664065098127,30.672941701993008,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BGR,Gini,NA,TRUE,38.080559,33.587043596679685,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BFA,Gini,NA,TRUE,45.127071,41.293235714091416,37.785109424440925,34.575021054350636,31.637650363281374,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BFA,Gini,NA,TRUE,45.127071,40.500762848526406,36.34873159200996,32.622355615606764,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BFA,Gini,NA,TRUE,45.127071,39.802065433636606,35.105411844333744,30.962964543010848,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BDI,Gini,NA,TRUE,38.830997000000004,35.532053745171645,32.51337696402094,29.751156214779076,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,FALSE,FALSE
