Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,society,BOL,Gini,NA,52.665359,44.30070942754164,37.264587065351186,31.345986714330564,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BIH,Gini,NA,32.908115,29.44403194553542,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,FALSE,FALSE
SHAPE_Gini,service,BIH,Gini,NA,32.908115,28.259318072148556,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,FALSE,FALSE
SHAPE_Gini,society,BIH,Gini,NA,32.908115,27.681437440180073,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,FALSE,FALSE
SHAPE_Gini,innovation,BWA,Gini,NA,66.101418,59.14323148673784,52.9175006607855,47.34712334431978,42.36311354446639,37.90374710054382,33.9137972650183,30.343850751269425,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BWA,Gini,NA,66.101418,56.763536783618434,48.74478045516668,41.85880155212796,35.94557716783624,30.867690187446016,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BWA,Gini,NA,66.101418,55.60276749592594,46.77157989569903,39.34301806290566,33.09430799108966,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BRA,Gini,NA,56.705429,50.73631421797604,45.395540177029574,40.61696439183147,36.3414068865312,32.51591728401112,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BRA,Gini,NA,56.705429,48.69488132421552,41.81595147052734,35.908780344761766,30.836091503434304,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BRA,Gini,NA,56.705429,47.69910963852146,40.12323159229941,33.750603011448476,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BRN,Gini,NA,44.446957,39.76823412066717,35.582018473755056,31.83646613085785,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BRN,Gini,NA,44.446957,38.16811431472479,32.77625845886141,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BRN,Gini,NA,44.446957,37.387606661818026,31.449467550699126,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BGR,Gini,NA,38.080559,34.071997004381636,30.48539754541395,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BGR,Gini,NA,38.080559,32.701071730976366,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BGR,Gini,NA,38.080559,32.03236076103375,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BFA,Gini,NA,45.127071,40.37675570698732,36.12648384429234,32.3236181832722,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BFA,Gini,NA,45.127071,38.75215134787972,33.27779093150043,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,29.54129236902937,FALSE,FALSE
SHAPE_Gini,society,BFA,Gini,NA,45.127071,37.95970060105431,31.93069786695624,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,29.54116145197813,FALSE,FALSE
SHAPE_Gini,innovation,BDI,Gini,NA,38.830997000000004,34.743439912768935,31.08616080530164,27.81386633100536,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,27.27816846687092,FALSE,FALSE
SHAPE_Gini,service,BDI,Gini,NA,38.830997000000004,33.34549837575462,28.634914059184574,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE
SHAPE_Gini,society,BDI,Gini,NA,38.830997000000004,32.66360939225234,27.475765778809002,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE
SHAPE_Gini,innovation,CPV,Gini,NA,52.831421,47.270104886045,42.29420245837596,37.84208996156008,33.85863048412224,30.294491118879776,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CPV,Gini,NA,52.831421,45.36813883878151,38.95916450354337,33.455560172036336,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CPV,Gini,NA,52.831421,44.440396397281205,37.38208805603552,31.444825445226805,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,KHM,Gini,NA,37.170998,33.25818122853384,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,29.757248342646093,FALSE,FALSE
SHAPE_Gini,service,KHM,Gini,NA,37.170998,31.92000075182664,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,28.072415091703398,FALSE,FALSE
SHAPE_Gini,society,KHM,Gini,NA,37.170998,31.267262063659935,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,28.071998424358867,FALSE,FALSE
SHAPE_Gini,innovation,CMR,Gini,NA,48.344894,43.25585355890252,38.70251255715279,34.62848042512591,30.983302564208106,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CMR,Gini,NA,48.344894,41.51540544665977,35.65069124777784,30.61446161419202,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CMR,Gini,NA,48.344894,40.66644834604281,34.20754260173511,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CAN,Gini,NA,28.603531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,service,CAN,Gini,NA,28.603531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,society,CAN,Gini,NA,28.603531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,innovation,CAF,Gini,NA,61.88142,55.36745290075394,49.53918059277254,44.32442319863179,39.65859887836012,35.483924019641066,31.748697620245437,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CAF,Gini,NA,61.88142,53.139680912632485,45.63285211451834,39.18648280047309,33.65076612827406,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CAF,Gini,NA,61.88142,52.05301660212102,43.78562317058475,36.8313101062106,30.981525576440365,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,TCD,Gini,NA,48.876339,43.731355834170955,39.12796093616746,35.009143846986575,31.323895331486398,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,TCD,Gini,NA,48.876339,41.97177535094791,36.04259161289552,30.950999792402826,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,TCD,Gini,NA,48.876339,41.11348584789902,34.58357874482769,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CHL,Gini,NA,54.839699,49.06698087202949,43.90192972970381,39.28057931704839,35.1456968061012,31.446074000499443,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CHL,Gini,NA,54.839699,47.09271549044626,40.44011715425567,34.727304603653586,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CHL,Gini,NA,54.839699,46.129706824800074,38.80309138352503,32.640135924486664,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CHN,Gini,NA,44.944190999999996,40.21312662758852,35.980079231295306,32.19262489781485,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CHN,Gini,NA,44.944190999999996,38.5951060692597,33.14293080717388,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CHN,Gini,NA,44.944190999999996,37.8058667737731,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,29.833583872526187,FALSE,FALSE
SHAPE_Gini,innovation,COL,Gini,NA,54.024551,48.33763968210295,43.24936286905586,38.69670511181008,34.62328430234001,30.978653412918188,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,COL,Gini,NA,54.024551,46.392720166864954,39.839007352065515,34.21111116333111,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,COL,Gini,NA,54.024551,45.4440258501685,38.2263146522177,32.15496656718269,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,COM,Gini,NA,61.571423,55.09008783225883,49.29101244527015,44.10237854906968,39.45992782852812,35.306166140227234,31.589651479801617,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,COM,Gini,NA,61.571423,52.873475940867564,45.40425284745329,38.99017683159425,33.4821915133498,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,COM,Gini,NA,61.571423,51.792255310806,43.56627765740791,36.646802452071526,30.82632260947355,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,COD,Gini,NA,47.859947,42.8219546570696,38.31428815941073,34.28112259046557,30.672509461039756,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,COD,Gini,NA,47.859947,41.09896495709863,35.29307962971253,30.307368349773704,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,28.289722647828828,FALSE,FALSE
SHAPE_Gini,society,COD,Gini,NA,47.859947,40.2585237340648,33.8644071888809,28.48584517976161,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,28.289642074558504,FALSE,FALSE
SHAPE_Gini,innovation,COG,Gini,NA,45.632988,40.829417195188306,36.531495778859345,32.68599640942445,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,COG,Gini,NA,45.632988,39.18659948995978,33.65086633350673,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,COG,Gini,NA,45.632988,38.38526462334558,32.28867108601929,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CRI,Gini,NA,43.418301,38.84785991737516,34.758527749853776,31.099660416480067,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CRI,Gini,NA,43.418301,37.284772406784334,32.017702706186185,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CRI,Gini,NA,43.418301,36.52232839499946,30.721618319247085,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CIV,Gini,NA,48.727535,43.598215733936605,39.008835870373446,34.90255851863358,31.228529741176814,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CIV,Gini,NA,48.727535,41.84399229298765,35.93285995311705,30.856769482454514,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CIV,Gini,NA,48.727535,40.988315852083446,34.47828904930558,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,HRV,Gini,NA,31.768972,28.42480119097737,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,HRV,Gini,NA,31.768972,27.281097217910578,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,25.52834707739548,FALSE,FALSE
SHAPE_Gini,society,HRV,Gini,NA,31.768972,26.723220426233237,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,25.278686343595755,FALSE,FALSE
SHAPE_Gini,innovation,CYP,Gini,NA,32.429966,29.01621545009878,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,27.20322268332858,FALSE,FALSE
SHAPE_Gini,service,CYP,Gini,NA,32.429966,27.848715256494124,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,27.197665466783448,FALSE,FALSE
